Dec 	Hex 	Binary 	  HTML 	Char 	
110 	6E 	01101110 	&#110; 	n 	 
111 	6F 	01101111 	&#111; 	o 	 
112 	70 	01110000 	&#112 	p 	 
113 	71 	01110001 	&#113; 	q 	 
114 	72 	01110010 	&#114; 	r 	 
115 	73 	01110011 	&#115; 	s 	 
116 	74 	01110100 	&#116; 	t 	 
117 	75 	01110101 	&#117; 	u 	 
118 	76 	01110110 	&#118; 	v 	 
119 	77 	01110111 	&#119; 	w 	 
120 	78 	01111000 	&#120; 	x 	 
121 	79 	01111001 	&#121; 	y 	 
122 	7A 	01111010 	&#122; 	z 	 
123 	7B 	01111011 	&#123; 	{ 	
124 	7C 	01111100 	&#124; 	| 	
125 	7D 	01111101 	&#125; 	} 	
126 	7E 	01111110 	&#126; 	~ 	
127 	7F 	01111111 	&#127; 	DEL 	
